Alder | ADR
Crab Apple | CBA
Common Ash | CNA CAH
Silver Birch | SRB SBH
Downy Birch | DYB DBH
European Beech | ENB EBH
Box | BOX
Wild Cherry | WDC WCY
Bird Cherry | BDC BCY
Blackthorn | BKN
Wych Elm | WHE WEM
Smooth-leaved Elm | SLD
Common Hawthorn | CHW
Midland Hawthorn | MHW
Common Hazel | CHZ
European Hornbeam | ENH EHM
European Holly | ENH EHY
Common Juniper | CNJ CJR
Small-leaved Lime | SLD
Large-leaved Lime | LLD
Field Maple | FDM
Pedunculate Oak | POK
Sessile Oak | SOK
Scots Pine | SSP
Aspen | APN
Black Poplar | BKR BPP
European Rowan | ERN ENR
Common Whitebeam | CNW CWM
Service Tree | SVT
Wild Service Tree | WDS
Strawberry Tree | SYT
Bay Willow | BWW
Crack Willow | CWW
White Willow | WWW
Almond-leaved Willow | ALD
European Yew | ENY EYW
Alder Buckthorn | ARB ABN
Purging Buckthorn | PGB PBN
Elder | EDR
Common Dogwood | CDD
Rock Whitebeam | RKW RWM
Sea-buckthorn | SAB SBN
Spindle | SPD
Sallow | SLW
Grey Willow | GWW
Purple Willow | PWW
Common Osier | COR CNO
Eared Willow | EWW
Guelder Rose | GRR
Wayfaring tree | WGT
Common Privet | CNP CPT
Plot's Elm | PSE PEM
